source_id,bp_min_flux,bp_max_flux,rp_min_flux,rp_max_flux,percentage_change
2767475062697728,1474.3355650415372,1780.690339359247,2604.55453754613,13544.43977640423,420.0290330324611453
2768295401418752,43.344918805094856,30220.3504613165,27.737251088096798,363691.16590072564,1311101.188414812188
2768746373012608,3885.6432041702637,7952.436669409718,9490.897045698046,10902.698951332612,104.6620405310186796
2778538898443264,1370308.245959109,3323415.410083801,23581005.22462457,35015401.22129702,142.5304977828305461
2781596915282176,9.79909498831747,529.0113223495185,5.631294781729259,124143.2019716817,2204423.236369447942
2793481089418752,150.65241737545006,5641.025914406693,239.55738888212235,655.2201874367604,3644.397874710731613
2797329380097920,26.070001494613233,264.60764723089295,104.79512453658432,276.82347665815075,914.9889990822134876
2811141995230720,878.3378356598137,1549.1471895868046,744.7883778119556,10549.19064423541,1316.401082308359129
2832273233765504,11.400267119552861,182.49396173865128,27.406519312349612,843.3772544226396,2977.286994421822096
2832277529288192,.1307227919418822,170.53290156210932,21.604495700063026,172.9714679477839,130353.839784822085
2832822989761664,41.7971543846235,253.44599824005724,141.8749090769599,140833.25399902274,99165.7933071364188
2836774359675776,172.7116661363527,380.21297730948436,268.4656946794985,12019.665724865315,4377.170067935388253
2844234718189056,45683.08441615967,46997.30733787283,40580.35470437297,145286.70537274823,258.0222657765286209
2850556910080768,15463.155133385924,189160.7779650885,62897.303541591136,220706.06850087456,1123.300007879236037
2853129594960896,78.62231442957625,266.426971657935,90.36939051542899,2745.853214127233,2938.477075551844821
2858008677821440,54.973555792494594,243.07033610848725,883.8735950995398,1072.7445630769264,342.1586572023653824
2859215564140160,8580.268493550573,186413.3876540023,17799.5560825166,200598.2151440403,2072.582219240824506
2863201293791232,19232.793772553647,155288.362714449,30723.66823731565,32122.464324309294,707.414484608340311
2866328029973248,23104.462908403635,27161.029275955076,20464.407904501495,119719.00479665613,485.0108410433018013
2866976570090112,110.52172566270937,352.9691509687799,78.89411170707726,2046.1547109244623,2493.545534198479783
2873337416284288,9.945017463487439,138803.90780948507,40.64904172702046,90847.22483100859,1395613.062537050874
2876184979672320,156.7810188092428,118005.15197642133,256.6972375972423,153122.39688075538,75167.49913521068763
2883228725807872,3.8580538426325384,1047.6895709126143,15.706776957440225,207.27995938098974,27055.90848772925838
2883434884240128,63.940502476950236,486.907932850157,257.6680343943353,396.0502899338281,661.5015741011439747
2885775641450752,111.16567819450201,160458.55829405785,119.01404807818872,125630.2061622601,144241.8156576260141
2886870858233472,535.4141840962164,200147.1035566756,621.5901563118464,907.4204010295418,37281.73352551830075
2888451406203136,608.2085705360009,965.1549344128217,725.1157449529672,3592.454445330685,395.4318631660246844
2891715581356160,285.51603922337756,106788.24931411492,349.0662769576594,180116.46035967302,51499.50194258397488
2906662067584128,53.83809849695643,205.783822639887,42.04205070619148,188.23316044321692,347.7259250712431563
2917554104680192,54.82929398034058,116878.19922873935,73.47670106417283,12135.352203179347,213067.4343110214609
2931572877957760,8.865170068547396,158437.35585123402,13.721390372070042,147662.35249080442,1787089.1303399981
2932126928915968,21802.86831738749,22979.257397956688,36512.87527339369,128751.36763354772,252.6190875670825287
2945046190610304,2.5619164039622477,228.65294249410437,15.412160786050388,240.63608680461158,8825.074297524728712
2952704116664704,26.580271560140073,1332.411487316717,109.4447959162343,39802.268588671235,36267.43826461577418
2964248989062912,223.03043403996708,189891.19750789844,323.1430718517828,17388.299429386814,85041.38365254219748
2965868192030720,15161.95810346595,15956.709548176825,32715.838252157097,193129.81739125308,490.325138248656044
2971911210738432,20.710018945576934,111.05042456289027,17.134323851715173,216.42259144242126,1163.09385369039243
2975003587168128,703.8197860165702,1105.666701395566,728.367976520272,3902.5021118369036,435.7871622089756752
2980814678225024,1914.17467069,138912.81715932532,2774.8658993701274,161085.04032309013,7157.060668828702105
2981325779048576,523.3704498738774,1598.1372930611578,1308.735628674459,2494.8423733894433,205.3548960294337088
2999059699275648,14502.893759738618,16176.263334112778,26230.579272834922,109598.459842741,317.8270662754445856
3001357506643328,8.222636308884907,89.96284511407242,31.980175841929128,9183.85235558189,28617.32913845009041
3007615274317440,3.670184537079016,152.33475446180918,22.2977682689367,100111.51846071484,448875.5084601065171
3012764939779712,28.473101743538372,205.9837189151778,63.655822584981756,162.02398981575917,623.4326655750574406
3014070609849344,109.86301877571536,248.23918158895307,89.07109925010637,345.8117251229438,288.2423457601269321
3015067042269440,9.909264092978676,114.11275061665118,25.221426087844865,477.1408308918248,1791.80750220058554
3042108156042752,41.79024929278928,205270.21205820172,205.72449335695032,563.2483932774039,491091.6428639734724
3050629371031424,440.77476833118845,174879.36411763387,1038.9390346729813,189841.00033921894,39575.44802524480453
3051041687895424,50.87400707135632,603.5270752764484,28.761556206953024,1796.449532329162,6146.009497548938122
3059288025238144,63.26934040932377,152870.001327797,71.58955955965664,165094.58965107636,241517.8204779721555
3070042623687040,225.45510393394594,868.0674693007159,368.59520140508846,707.6237763151971,285.0289721340897957
3075368382768256,122268.52022607977,126415.42700394978,176916.31443390375,780009.7629130968,340.891935494456525
